Country,Budget
United States of America,70662737652
United Kingdom,11323630000
Germany,9188633049
France,3253366397
Canada,2602800000
Australia,2421500000
Italy,1583496397
Czech Republic,1356000000
New Zealand,968000000
Japan,966677699
Spain,590866397
Ireland,408000000
China,405341000
Malta,300000000
Poland,260000000
Hong Kong,260000000
Morocco,230000000
Slovenia,225000000
Netherlands,195000000
Mexico,167000000
Switzerland,160866397
Hungary,155000000
Tunisia,147000000
Uruguay,135000000
Paraguay,135000000
Luxembourg,118000000
Russia,116500000
Romania,114000000
India,110000000
South Africa,105000000
Peru,90000000
Brazil,81000000
Pakistan,75000000
Denmark,70000000
Iceland,70000000
South Korea,70000000
Belgium,60000000
Costa Rica,47000000
Qatar,40000000
United Arab Emirates,40000000
Portugal,38000000
Liechtenstein,35000000
