Title,Budget,Genres
Pirates of the Caribbean: At World's End,300000000,Adventure
Superman Returns,270000000,Adventure
Spider-Man 3,258000000,Fantasy
Harry Potter and the Half-Blood Prince,250000000,Adventure
Avatar,237000000,Action
The Chronicles of Narnia: Prince Caspian,225000000,Adventure
X-Men: The Last Stand,210000000,Adventure
King Kong,207000000,Adventure
Titanic,200000000,Drama
Terminator 3: Rise of the Machines,200000000,Action
Spider-Man 2,200000000,Action
Pirates of the Caribbean: Dead Man's Chest,200000000,Adventure
Quantum of Solace,200000000,Adventure
Terminator Salvation,200000000,Action
A Christmas Carol,200000000,Animation
2012,200000000,Action
The Dark Knight,185000000,Drama
Indiana Jones and the Kingdom of the Crystal Skull,185000000,Adventure
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",180000000,Adventure
The Golden Compass,180000000,Adventure
WALL·E,180000000,Animation
Waterworld,175000000,Adventure
Troy,175000000,Adventure
Evan Almighty,175000000,Fantasy
Monsters vs Aliens,175000000,Animation
Up,175000000,Animation
G.I. Joe: The Rise of Cobra,175000000,Adventure
Wild Wild West,170000000,Action
The Polar Express,165000000,Adventure
Speed 2: Cruise Control,160000000,Action
The 13th Warrior,160000000,Adventure
Van Helsing,160000000,Horror
Poseidon,160000000,Adventure
Shrek the Third,160000000,Fantasy
Alexander,155000000,War
Tarzan,150000000,Adventure
The Matrix Reloaded,150000000,Adventure
The Matrix Revolutions,150000000,Adventure
Master and Commander: The Far Side of the World,150000000,Adventure
Shrek 2,150000000,Adventure
Charlie and the Chocolate Factory,150000000,Adventure
Batman Begins,150000000,Action
Chicken Little,150000000,Animation
Harry Potter and the Goblet of Fire,150000000,Adventure
Mission: Impossible III,150000000,Adventure
Casino Royale,150000000,Adventure
Ratatouille,150000000,Animation
Meet the Robinsons,150000000,Animation
Transformers,150000000,Adventure
Harry Potter and the Order of the Phoenix,150000000,Adventure
Bee Movie,150000000,Family
I Am Legend,150000000,Drama
The Incredible Hulk,150000000,Science Fiction
Hancock,150000000,Fantasy
Madagascar: Escape 2 Africa,150000000,Family
Bolt,150000000,Animation
The Curious Case of Benjamin Button,150000000,Fantasy
X-Men Origins: Wolverine,150000000,Adventure
Star Trek,150000000,Science Fiction
Angels & Demons,150000000,Thriller
Night at the Museum: Battle of the Smithsonian,150000000,Adventure
Transformers: Revenge of the Fallen,150000000,Science Fiction
G-Force,150000000,Fantasy
Flushed Away,149000000,Adventure
The Alamo,145000000,Western
The Mummy: Tomb of the Dragon Emperor,145000000,Adventure
Armageddon,140000000,Action
Lethal Weapon 4,140000000,Action
Pearl Harbor,140000000,History
Men in Black II,140000000,Action
Die Another Day,140000000,Adventure
Treasure Planet,140000000,Adventure
Pirates of the Caribbean: The Curse of the Black Pearl,140000000,Adventure
The Last Samurai,140000000,Drama
Lemony Snicket's A Series of Unfortunate Events,140000000,Adventure
Rush Hour 3,140000000,Action
Iron Man,140000000,Action
Spider-Man,139000000,Fantasy
Final Fantasy: The Spirits Within,137000000,Adventure
Hulk,137000000,Drama
The World Is Not Enough,135000000,Adventure
Stealth,135000000,Action
Miami Vice,135000000,Action
Stuart Little,133000000,Animation
War of the Worlds,132000000,Adventure
Godzilla,130000000,Science Fiction
Bad Boys II,130000000,Adventure
Harry Potter and the Prisoner of Azkaban,130000000,Adventure
Sahara,130000000,Action
Kingdom of Heaven,130000000,Drama
Fantastic 4: Rise of the Silver Surfer,130000000,Adventure
National Treasure: Book of Secrets,130000000,Action
Kung Fu Panda,130000000,Adventure
Watchmen,130000000,Action
Australia,130000000,Drama
Dinosaur,127500000,Animation
The Island,126000000,Action
Batman & Robin,125000000,Action
Mission: Impossible II,125000000,Adventure
Harry Potter and the Philosopher's Stone,125000000,Adventure
The Day After Tomorrow,125000000,Action
The Da Vinci Code,125000000,Thriller
How the Grinch Stole Christmas,123000000,Family
A Bug's Life,120000000,Adventure
The Perfect Storm,120000000,Drama
Atlantis: The Lost Empire,120000000,Animation
Star Wars: Episode II - Attack of the Clones,120000000,Adventure
Stuart Little 2,120000000,Family
Charlie's Angels: Full Throttle,120000000,Action
King Arthur,120000000,Adventure
"I, Robot",120000000,Action
Cars,120000000,Animation
Speed Racer,120000000,Action
Dante's Peak,116000000,Action
The Aviator,116000000,Drama
True Lies,115000000,Action
Star Wars: Episode I - The Phantom Menace,115000000,Adventure
Lara Croft: Tomb Raider,115000000,Adventure
"Monsters, Inc.",115000000,Animation
Windtalkers,115000000,Drama
Star Wars: Episode III - Revenge of the Sith,113000000,Science Fiction
Tomorrow Never Dies,110000000,Adventure
The Patriot,110000000,Drama
X2,110000000,Adventure
Home on the Range,110000000,Animation
Around the World in 80 Days,110000000,Action
Ocean's Twelve,110000000,Thriller
Mr. & Mrs. Smith,110000000,Action
Night at the Museum,110000000,Action
Ghost Rider,110000000,Thriller
Live Free or Die Hard,110000000,Action
Ali,107000000,Drama
Starship Troopers,105000000,Adventure
The Chronicles of Riddick,105000000,Action
"10,000 BC",105000000,Adventure
The Princess and the Frog,105000000,Romance
Gladiator,103000000,Action
Swordfish,102000000,Action
Minority Report,102000000,Action
Batman Forever,100000000,Action
Terminator 2: Judgment Day,100000000,Action
The Hunchback of Notre Dame,100000000,Drama
Eraser,100000000,Action
Sleepy Hollow,100000000,Drama
End of Days,100000000,Action
Bicentennial Man,100000000,Comedy
What Lies Beneath,100000000,Drama
The Emperor's New Groove,100000000,Adventure
A.I. Artificial Intelligence,100000000,Drama
Planet of the Apes,100000000,Thriller
K-19: The Widowmaker,100000000,Drama
The Adventures of Pluto Nash,100000000,Action
Harry Potter and the Chamber of Secrets,100000000,Adventure
Gangs of New York,100000000,Drama
Peter Pan,100000000,Adventure
Hidalgo,100000000,Western
Catwoman,100000000,Action
National Treasure,100000000,Adventure
Constantine,100000000,Drama
Fantastic Four,100000000,Action
Fun with Dick and Jane,100000000,Comedy
Happy Feet,100000000,Animation
Blood Diamond,100000000,Drama
Eragon,100000000,Fantasy
American Gangster,100000000,Drama
Fred Claus,100000000,Action
Land of the Lost,100000000,Adventure
The Taking of Pelham 1 2 3,100000000,Thriller
Cloudy with a Chance of Meatballs,100000000,Animation
Where the Wild Things Are,100000000,Family
Cutthroat Island,98000000,Action
The Mummy Returns,98000000,Adventure
The Mask of Zorro,95000000,Action
The Road to El Dorado,95000000,Adventure
Hollow Man,95000000,Action
Lara Croft Tomb Raider: The Cradle of Life,95000000,Action
Driven,94000000,Action
Finding Nemo,94000000,Animation
The Lord of the Rings: The Return of the King,94000000,Adventure
Jurassic Park III,93000000,Adventure
The Lord of the Rings: The Fellowship of the Ring,93000000,Adventure
Metropolis,92620000,Drama
Twister,92000000,Action
Charlie's Angels,92000000,Action
Spy Game,92000000,Action
