Title,Budget,Revenue
Die Hard 2,70000000,240031094
Total Recall,65000000,261317921
Days of Thunder,60000000,157920733
The Godfather: Part III,54000000,136766062
Gremlins 2: The New Batch,50000000,41482207
The Adventures of Ford Fairlane,49000000,20423389
Dick Tracy,47000000,103738726
The Bonfire of the Vanities,47000000,15691192
Rocky V,42000000,119946358
Back to the Future Part III,40000000,244527583
Havana,40000000,9243140
Another 48 Hrs.,38000000,153518974
The Rescuers Down Under,37931000,47431461
RoboCop 2,35000000,45681173
Predator 2,35000000,57120318
