Title,Revenue
Avatar,2787965087
Titanic,1845034188
The Lord of the Rings: The Return of the King,1118888979
Pirates of the Caribbean: Dead Man's Chest,1065659812
The Dark Knight,1004558444
Harry Potter and the Philosopher's Stone,976475550
Pirates of the Caribbean: At World's End,961000000
Finding Nemo,940335536
Harry Potter and the Order of the Phoenix,938212738
Harry Potter and the Half-Blood Prince,933959197
The Lord of the Rings: The Two Towers,926287400
Star Wars: Episode I - The Phantom Menace,924317558
Jurassic Park,920100000
Shrek 2,919838758
Harry Potter and the Goblet of Fire,895921036
Spider-Man 3,890871626
Ice Age: Dawn of the Dinosaurs,886686817
Harry Potter and the Chamber of Secrets,876688482
The Lord of the Rings: The Fellowship of the Ring,871368364
Star Wars: Episode III - Revenge of the Sith,850000000
Transformers: Revenge of the Fallen,836297228
Spider-Man,821708551
Independence Day,816969268
Shrek the Third,798958165
Harry Potter and the Prisoner of Azkaban,789804554
The Lion King,788241776
Indiana Jones and the Kingdom of the Crystal Skull,786636033
Spider-Man 2,783766341
2012,769653595
The Da Vinci Code,767820459
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",748806957
The Matrix Reloaded,738599701
Up,735099082
The Twilight Saga: New Moon,709827462
Transformers,709709780
Forrest Gump,677945399
The Sixth Sense,672806292
Ice Age: The Meltdown,660940780
Pirates of the Caribbean: The Curse of the Black Pearl,655011224
Star Wars: Episode II - Attack of the Clones,649398328
Kung Fu Panda,631744560
The Incredibles,631442092
Hancock,624029371
Ratatouille,623722818
Mamma Mia!,609841637
Madagascar: Escape 2 Africa,603900354
Casino Royale,599045960
War of the Worlds,591739379
Men in Black,589390539
Quantum of Solace,586090727
I Am Legend,585349010
Iron Man,585174222
Night at the Museum,574480841
"Monsters, Inc.",562816256
Armageddon,553799566
King Kong,550000000
Mission: Impossible II,546388105
The Day After Tomorrow,544272402
Madagascar,532680671
The Simpsons Movie,527068851
Sherlock Holmes,524028679
WALL·E,521311860
Terminator 2: Judgment Day,520000000
Meet the Fockers,516642939
Troy,497409852
Toy Story 2,497366869
Twister,494471524
Bruce Almighty,484572835
Shrek,484409218
Saving Private Ryan,481840909
Mr. & Mrs. Smith,478207520
Charlie and the Chocolate Factory,474968763
Indiana Jones and the Last Crusade,474171806
The Matrix,463517383
Cars,461983149
X-Men: The Last Stand,459359555
The Hangover,459270619
Mission: Impossible,457696359
Gladiator,457640427
National Treasure: Book of Secrets,457363168
The Last Samurai,456758981
Ocean's Eleven,450717150
Pearl Harbor,449220945
Tarzan,448000000
Alvin and the Chipmunks: The Squeakquel,443140005
The Bourne Ultimatum,442824138
Men in Black II,441818803
Terminator 3: Rise of the Machines,435000000
The Mummy Returns,433013274
Die Another Day,431971116
Cast Away,429632142
The Matrix Revolutions,424988211
300,422610419
The Chronicles of Narnia: Prince Caspian,419651413
The Mummy,415885488
Sex and the City,415252786
Night at the Museum: Battle of the Smithsonian,413106170
Batman,411348924
Signs,408247917
X2,407711549
The Mummy: Tomb of the Dragon Emperor,401128639
Mission: Impossible III,397850012
Twilight,392616625
Superman Returns,391081192
Robin Hood: Prince of Thieves,390493908
Star Trek,385680446
Happy Feet,384335608
Live Free or Die Hard,383531464
Ice Age,383257136
Monsters vs Aliens,381509870
Godzilla,379014294
True Lies,378882411
Batman Begins,374218673
What Women Want,374111707
X-Men Origins: Wolverine,373062864
The Golden Compass,372234864
Terminator Salvation,371353001
The Fugitive,368875760
Jurassic Park III,368780809
Hitch,368100420
Shark Tale,367275019
Die Hard: With a Vengeance,366101666
Notting Hill,363889678
A Bug's Life,363258859
Fast & Furious,363164265
Ocean's Twelve,362744280
Planet of the Apes,362211740
The World Is Not Enough,361832400
Alvin and the Chipmunks,361366633
Minority Report,358372926
Angels & Demons,356613439
Apollo 13,355237933
Dinosaur,354248063
Basic Instinct,352927224
GoldenEye,352194034
Catch Me If You Can,352114312
Hannibal,351692268
National Treasure,347451894
Rush Hour 2,347325802
"I, Robot",347234916
Pocahontas,346079773
How the Grinch Stole Christmas,345141403
Over the Hedge,343397247
The Flintstones,341631208
Enchanted,340487652
Batman Forever,336529144
The Rock,335062621
The Curious Case of Benjamin Button,333932083
Tomorrow Never Dies,333011068
Back to the Future Part II,332000000
Fantastic Four,330579719
Meet the Parents,330444045
Who Framed Roger Rabbit,329803958
The Devil Wears Prada,326551094
The Perfect Storm,325756637
A Christmas Carol,325233863
Lethal Weapon 3,321731527
101 Dalmatians,320689294
Inglourious Basterds,319131050
The Proposal,317375031
Air Force One,315156409
Chicken Little,314432665
As Good as It Gets,314178011
A Beautiful Mind,313542341
Ocean's Thirteen,311312624
Bolt,309979994
Ransom,309492681
Runaway Bride,309457509
The Pursuit of Happyness,307077295
Chicago,306776732
The Polar Express,305875730
Mulan,304320254
Liar Liar,302710615
G.I. Joe: The Rise of Cobra,302469017
Hook,300854823
Rambo: First Blood Part II,300400432
Van Helsing,300257475
Superman,300218018
Stuart Little,300135367
My Best Friend's Wedding,299288605
Horton Hears a Who!,297138014
Austin Powers in Goldmember,296655431
X-Men,296339527
Doctor Dolittle,294456605
G-Force,292817841
The Departed,289847354
Fantastic 4: Rise of the Silver Surfer,289047763
Coming to America,288752301
The Bourne Supremacy,288500217
Casper,287928194
Bee Movie,287594577
Lethal Weapon 4,285444603
Wedding Crashers,285176741
The Green Mile,284600000
Batman Returns,280000000
xXx,277448382
Scooby-Doo,275650703
Lara Croft: Tomb Raider,274703340
Jerry Maguire,273552592
Bad Boys II,273339556
The Firm,270248367
The Princess and the Frog,267045765
Something's Gotta Give,266728738
Indecent Proposal,266614059
American Gangster,266465037
"10,000 BC",266000000
Waterworld,264218220
The Truman Show,264118201
Charlie's Angels,264105545
The Fifth Element,263920180
Jumanji,262797249
Total Recall,261317921
Robots,260696994
Charlie's Angels: Full Throttle,259175788
Wanted,258270008
Rush Hour 3,258022233
The Village,256697520
Erin Brockovich,256271286
Cliffhanger,255000211
Hercules,252712101
You've Got Mail,250821495
Enemy of the State,250649836
The Mask of Zorro,250288523
Space Jam,250200000
The Ring,249348933
Eragon,249288105
Unbreakable,248118121
Face/Off,245676146
Hulk,245360480
Love Actually,244931766
Back to the Future Part III,244527583
Marley & Me,244082376
A Few Good Men,243240178
Cloudy with a Chance of Meatballs,242988466
Eraser,242295562
Die Hard 2,240031094
Batman & Robin,238207122
Click,237681299
Gone in Sixty Seconds,237202299
2 Fast 2 Furious,236350661
A.I. Artificial Intelligence,235926552
Big Daddy,234801895
The Day the Earth Stood Still,233093859
American Wedding,231449203
Constantine,230884728
Get Smart,230685453
The Lost World: Jurassic Park,229074524
Ghost Rider,228738393
Yes Man,225990978
Chicken Run,224834564
Con Air,224012234
Interview with the Vampire,223664608
Flightplan,223387299
The Little Mermaid,222300000
Jumper,222231186
Wild Wild West,222104681
Scary Movie 3,220673217
The Terminal,219417255
It's Complicated,219103655
The Prince of Egypt,218613188
Collateral,217764291
Clear and Present Danger,215887717
Dracula,215862692
Vertical Limit,215663859
Ghostbusters II,215394738
The Patriot,215294342
8 Mile,215000000
Public Enemies,214104620
The Bourne Identity,214034224
Disclosure,214015089
Bedtime Stories,212874442
Entrapment,212404396
Master and Commander: The Far Side of the World,212011111
Miss Congeniality,212000000
End of Days,211989043
Kingdom of Heaven,211643158
Moonraker,210308099
Braveheart,210000000
Red Dragon,209196298
Lemony Snicket's A Series of Unfortunate Events,209073645
Traffic,207515725
The Fast and the Furious,207283925
Sleepy Hollow,206071502
JFK,205405498
The Ugly Truth,205298907
The Break-Up,204999686
King Arthur,203567857
Vanilla Sky,203388341
Patch Adams,202292902
Fun with Dick and Jane,202026112
You Don't Mess with the Zohan,201596308
Garfield,200804534
Valkyrie,200276000
City of Angels,198685114
Open Season,197309027
Spy Kids 3-D: Game Over,197011982
Stargate,196567262
50 First Dates,196482882
Panic Room,196397415
Anger Management,195745823
Beowulf,195735876
The Pelican Brief,195268056
The Holiday,194168700
Gangs of New York,193772504
The Sum of All Fears,193000000
The Living Daylights,191185897
Superman II,190458706
The Longest Yard,190320568
Hollow Man,190213455
Cheaper by the Dozen,190212113
Outbreak,189859560
The X Files,189198313
Rambo III,189015611
Tropic Thunder,188072649
Ponyo,187479518
Heat,187436818
The Horse Whisperer,186883563
The Final Destination,186167139
I Now Pronounce You Chuck & Larry,186072214
Atlantis: The Lost Empire,186053725
Watchmen,185258983
Inside Man,184376254
102 Dalmatians,183611771
Cape Fear,182300000
The Haunted Mansion,182290266
Poseidon,181674817
Road to Perdition,181001478
Déjà Vu,180557550
The League of Extraordinary Gentlemen,179265204
Moulin Rouge!,179213434
Daredevil,179179718
Scary Movie 4,178262620
Dante's Peak,178127760
Eagle Eye,178066569
Patriot Games,178051587
Flubber,177977226
Double Jeopardy,177841558
How to Lose a Guy in 10 Days,177371441
He's Just Not That Into You,177259441
In the Line of Fire,176997168
Analyze This,176885658
Dr. Dolittle 2,176104344
The Italian Job,176070171
The Bucket List,175372502
Cold Mountain,173013509
Evan Almighty,173000000
Black Hawk Down,172989651
The Santa Clause 2,172855065
Along Came Polly,171963386
Couples Retreat,171844840
Antz,171757863
Mr. Deeds,171269535
AVP: Alien vs. Predator,171183863
Contact,171120329
Blood Diamond,170877916
The Specialist,170362582
Starsky & Hutch,170268750
Shall We Dance?,170128460
What Happens in Vegas,170000000
Stuart Little 2,169956806
Meet the Robinsons,169332978
The Emperor's New Groove,169327687
Seven Pounds,168167691
Alexander,167298192
Sleepers,165615285
The Princess Diaries,165335153
The Scorpion King,165333180
Speed 2: Cruise Control,164508066
Daddy Day Care,164433867
Six Days Seven Nights,164000000
Miami Vice,163794509
Four Christmases,163733697
Burn After Reading,163720069
The Incredible Hulk,163712074
The Happening,163403799
Talladega Nights: The Ballad of Ricky Bobby,162966177
The Island,162949164
World Trade Center,162945894
The Interpreter,162944923
The Spiderwick Chronicles,162839667
Memoirs of a Geisha,162242962
Eyes Wide Shut,162091208
Alien: Resurrection,162000000
Scream 3,161834276
Payback,161626121
The Ring Two,161451538
Johnny English,160583018
Hellboy II: The Golden Army,160388063
Never Say Never Again,160000000
Alien³,159773545
The Jackal,159330280
Daylight,159212469
Demolition Man,159055768
Sin City,158733820
The Fast and the Furious: Tokyo Drift,158468292
Days of Thunder,157920733
Crimson Tide,157387195
Under Siege,156563139
Lara Croft Tomb Raider: The Cradle of Life,156505388
Hannah Montana: The Movie,155545279
What Lies Beneath,155464351
Knowing,155446362
Blade II,155010032
Dreamgirls,154937680
Maid in Manhattan,154906693
Monster-in-Law,154749918
The Phantom of the Opera,154648887
Another 48 Hrs.,153518974
The Devil's Advocate,152944660
Backdraft,152368585
A Time to Kill,152266007
Congo,152022101
Sweeney Todd: The Demon Barber of Fleet Street,152000000
The Bone Collector,151493655
Vantage Point,151161491
Broken Arrow,150270147
The Taking of Pelham 1 2 3,150166126
Star Trek: First Contact,150000000
The General's Daughter,149705852
"Me, Myself & Irene",149270999
Surf's Up,149044513
Death Becomes Her,149022650
Resident Evil: Extinction,148412065
Seabiscuit,148336445
Spy Kids,147934180
The Mexican,147845033
Swordfish,147080413
Music and Lyrics,145896422
Lilo & Stitch,145771527
The Beach,144056873
Charlotte's Web,144000000
Spy Game,143049560
Meet Joe Black,142940100
The Legend of Zorro,142400065
Gothika,141591324
Scary Movie 2,141220678
Shallow Hal,141069860
Evita,141047179
The Devil's Own,140807547
Deep Impact,140464664
Monster House,140175006
Anastasia,139804348
Star Trek: The Motion Picture,139000000
Big Momma's House 2,138259062
Far and Away,137783840
Bridge to Terabithia,137587063
Last Action Hero,137298489
Conspiracy Theory,136982834
Anaconda,136885767
The Godfather: Part III,136766062
Lost in Space,136159423
Stardust,135560026
V for Vendetta,132511035
Perfume: The Story of a Murderer,132180323
Seven Years in Tibet,131457682
Bewitched,131426169
School of Rock,131282949
Blade,131183530
"You, Me and Dupree",130431368
Munich,130358911
Man on Fire,130293714
Jingle All the Way,129832389
Julie & Julia,129540499
Resident Evil: Apocalypse,129394835
Cheaper by the Dozen 2,129181830
Blade: Trinity,128905366
Space Cowboys,128884132
The Talented Mr. Ripley,128798265
The Nutty Professor,128769345
Failure to Launch,128406887
Step Brothers,128107642
A Perfect Murder,128038368
The Forbidden Kingdom,127906624
Red Cliff,127814609
The Heartbreak Kid,127766650
U-571,127666415
First Knight,127600435
Law Abiding Citizen,126690726
L.A. Confidential,126216940
"Legally Blonde 2: Red, White & Blonde",124914842
Ray,124731534
Coraline,124596398
The Thomas Crown Affair,124305181
The Time Machine,123729176
Nutty Professor II: The Klumps,123307945
Big Fish,122919055
Spirit: Stallion of the Cimarron,122563539
Surrogates,122444772
MouseHunt,122417389
Invictus,122233971
Peter Pan,121975011
Executive Decision,121969216
Starship Troopers,121214377
Red Cliff Part II,121059225
Eight Below,120455994
Apocalypto,120175290
The Pianist,120072577
Star Trek: Generations,120000000
Rocky V,119946358
Intolerable Cruelty,119940815
Spy Kids 2: The Island of Lost Dreams,119723358
Sahara,119269486
Beverly Hills Cop III,119208989
Unfaithful,119137784
Charlie Wilson's War,119000410
Message in a Bottle,118880016
The Saint,118063304
Star Trek: Insurrection,118000000
Blue Streak,117758500
The Client,117615211
The Forgotten,117575636
A Knight's Tale,117487473
Dennis the Menace,117270765
Corpse Bride,117195061
The Siege,116672912
S.W.A.T.,116643346
Sliver,116300000
Casino,116112375
The Chronicles of Riddick,115772733
DragonHeart,115267375
The Lake House,114830111
We Were Soldiers,114660784
Coyote Ugly,113916474
Insomnia,113714830
Judge Dredd,113493481
Species,113374103
Striptease,113309743
Body of Lies,113280098
Rambo,113244290
White Chicks,113086475
Changeling,113020255
The Pacifier,113006880
Mary Shelley's Frankenstein,112006296
Underworld: Evolution,111340801
Fool's Gold,111231041
The Dukes of Hazzard,110803676
The Prestige,109676311
Treasure Planet,109578115
The Game,109423648
Cinderella Man,108539911
Confessions of a Shopaholic,108332743
Hidalgo,108103450
Three Kings,108000000
Arthur and the Invisibles,107944236
The American President,107879496
A League of Their Own,107458785
Shaft,107196498
The Whole Nine Yards,106371651
Race to Witch Mountain,106303988
The Brothers Grimm,105316267
Along Came a Spider,105178561
Planet 51,104945765
Training Day,104876233
The Hitchhiker's Guide to the Galaxy,104478416
Under Siege 2: Dark Territory,104324083
Home on the Range,103951461
Snake Eyes,103891409
Dick Tracy,103738726
The Water Horse,103071443
Just Like Heaven,102854431
The Cable Guy,102825796
U.S. Marshals,102367405
John Q,102244770
The Aviator,102000000
The Stepford Wives,102000000
Journey to the Center of the Earth,101702060
Little Man,101595121
Mars Attacks!,101371017
The Time Traveler's Wife,101229792
Courage Under Fire,100860818
Fight Club,100853753
Any Given Sunday,100230832
The Hunchback of Notre Dame,100138851
Where the Wild Things Are,100086793
Nim's Island,100076342
Don't Say a Word,100020092
Street Fighter,99423521
Hellboy,99318987
Evolution,98376292
The Thin Red Line,98126565
Fred Claus,97838349
Silent Hill,97607453
Enemy at the Gates,96976270
Jarhead,96889998
8MM,96618699
13 Going on 30,96455697
Paycheck,96269812
The Manchurian Candidate,96105964
The Manchurian Candidate,96105910
The 6th Day,96085477
Shooter,95696996
Norbit,95673607
TMNT,95608995
Be Cool,95226116
The Princess Diaries 2: Royal Engagement,95149435
Changing Lanes,94935764
The Wedding Planner,94728529
Syriana,94000000
Speed Racer,93945766
Forces of Nature,93888180
Bicentennial Man,93700000
The Lovely Bones,93525586
Cats & Dogs,93375151
Two Weeks Notice,93354918
Secret Window,92913171
Four Brothers,92374674
Old Dogs,92219310
The Skeleton Key,91974818
Behind Enemy Lines,91753202
"I Love You, Man",91636986
Underworld: Rise of the Lycans,91353501
The Haunting,91188905
Fantasia 2000,90874570
Galaxy Quest,90683916
Hairspray,90450008
Trading Places,90400000
Bedazzled,90383208
The Abyss,90000098
The Long Kiss Goodnight,89456761
Rumor Has It...,88933562
Shanghai Knights,88323487
Spawn,87840042
State of Play,87784194
Ali,87713825
RV,87528173
The Illusionist,86915017
The Kingdom,86658558
Sky High,86369815
Tears of the Sun,85632458
Rat Race,85498534
Max Payne,85416905
Did You Hear About the Morgans?,85280250
Final Fantasy: The Spirits Within,85131830
Zodiac,84785914
Made of Honor,84601681
Blow,83282296
Firewall,82800000
Hannibal Rising,82169884
Catwoman,82102379
The Rundown,80916492
Runaway Jury,80154140
Finding Forrester,80049764
Exit Wounds,79958599
Collateral Damage,78382433
Exorcist: The Beginning,78000586
Hostage,77944725
The Sentinel,77920346
Out of Sight,77745568
Showtime,77741732
Windtalkers,77628265
Stealth,76932943
The Road to El Dorado,76432727
Next,76066841
Superman III,75850624
Dreamcatcher,75715436
The Last of the Mohicans,75505856
The Count of Monte Cristo,75395048
Revolutionary Road,75225693
The Ghost and the Darkness,75000000
Random Hearts,74608570
From Hell,74558115
Ladder 49,74541707
Elizabeth: The Golden Age,74237563
The Core,74208267
Amistad,74000000
The Hurricane,73956241
Death Race,73762516
Deep Blue Sea,73648228
Life,73345029
Righteous Kill,73174566
Perfect Stranger,73090611
Hotel for Dogs,73034460
Barnyard,72779000
The One,72700000
Mirrors,72436439
Around the World in 80 Days,72178895
Babylon A.D.,72108608
"Yours, Mine & Ours",72028752
What Dreams May Come,71485043
xXx: State of the Union,71073932
The Score,71069884
Rules of Engagement,71000000
Boomerang,70100000
3:10 to Yuma,70016220
Children of Men,69959751
Curious George,69834815
21,69823199
The Brave One,69766619
