Title,Genre,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
King Kong,Adventure,0,0,0,0,0,0,0,0,0,0,343000000
Titanic,Drama,0,0,1645034188,1645034188,1645034188,1645034188,1645034188,1645034188,1645034188,1645034188,1645034188
Terminator 3: Rise of the Machines,Action,0,0,0,0,0,0,0,0,235000000,235000000,235000000
Spider-Man 2,Action,0,0,0,0,0,0,0,0,0,583766341,583766341
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Adventure,0,0,0,0,0,0,0,0,0,0,568806957
Waterworld,Adventure,89218220,89218220,89218220,89218220,89218220,89218220,89218220,89218220,89218220,89218220,89218220
Troy,Adventure,0,0,0,0,0,0,0,0,0,322409852,322409852
Wild Wild West,Action,0,0,0,0,52104681,52104681,52104681,52104681,52104681,52104681,52104681
The Polar Express,Adventure,0,0,0,0,0,0,0,0,0,140875730,140875730
Speed 2: Cruise Control,Action,0,0,4508066,4508066,4508066,4508066,4508066,4508066,4508066,4508066,4508066
The 13th Warrior,Adventure,0,0,0,0,-98301101,-98301101,-98301101,-98301101,-98301101,-98301101,-98301101
Van Helsing,Horror,0,0,0,0,0,0,0,0,0,140257475,140257475
Alexander,War,0,0,0,0,0,0,0,0,0,12298192,12298192
Tarzan,Adventure,0,0,0,0,298000000,298000000,298000000,298000000,298000000,298000000,298000000
The Matrix Reloaded,Adventure,0,0,0,0,0,0,0,0,588599701,588599701,588599701
The Matrix Revolutions,Adventure,0,0,0,0,0,0,0,0,274988211,274988211,274988211
Master and Commander: The Far Side of the World,Adventure,0,0,0,0,0,0,0,0,62011111,62011111,62011111
Shrek 2,Adventure,0,0,0,0,0,0,0,0,0,769838758,769838758
Charlie and the Chocolate Factory,Adventure,0,0,0,0,0,0,0,0,0,0,324968763
Batman Begins,Action,0,0,0,0,0,0,0,0,0,0,224218673
Chicken Little,Animation,0,0,0,0,0,0,0,0,0,0,164432665
Harry Potter and the Goblet of Fire,Adventure,0,0,0,0,0,0,0,0,0,0,745921036
The Alamo,Western,0,0,0,0,0,0,0,0,0,-119180039,-119180039
Armageddon,Action,0,0,0,413799566,413799566,413799566,413799566,413799566,413799566,413799566,413799566
Lethal Weapon 4,Action,0,0,0,145444603,145444603,145444603,145444603,145444603,145444603,145444603,145444603
Pearl Harbor,History,0,0,0,0,0,0,309220945,309220945,309220945,309220945,309220945
Men in Black II,Action,0,0,0,0,0,0,0,301818803,301818803,301818803,301818803
Die Another Day,Adventure,0,0,0,0,0,0,0,291971116,291971116,291971116,291971116
Treasure Planet,Adventure,0,0,0,0,0,0,0,-30421885,-30421885,-30421885,-30421885
Pirates of the Caribbean: The Curse of the Black Pearl,Adventure,0,0,0,0,0,0,0,0,515011224,515011224,515011224
The Last Samurai,Drama,0,0,0,0,0,0,0,0,316758981,316758981,316758981
Lemony Snicket's A Series of Unfortunate Events,Adventure,0,0,0,0,0,0,0,0,0,69073645,69073645
Spider-Man,Fantasy,0,0,0,0,0,0,0,682708551,682708551,682708551,682708551
Final Fantasy: The Spirits Within,Adventure,0,0,0,0,0,0,-51868170,-51868170,-51868170,-51868170,-51868170
Hulk,Drama,0,0,0,0,0,0,0,0,108360480,108360480,108360480
The World Is Not Enough,Adventure,0,0,0,0,226832400,226832400,226832400,226832400,226832400,226832400,226832400
Stealth,Action,0,0,0,0,0,0,0,0,0,0,-58067057
Stuart Little,Animation,0,0,0,0,167135367,167135367,167135367,167135367,167135367,167135367,167135367
War of the Worlds,Adventure,0,0,0,0,0,0,0,0,0,0,459739379
Godzilla,Science Fiction,0,0,0,249014294,249014294,249014294,249014294,249014294,249014294,249014294,249014294
Bad Boys II,Adventure,0,0,0,0,0,0,0,0,143339556,143339556,143339556
Harry Potter and the Prisoner of Azkaban,Adventure,0,0,0,0,0,0,0,0,0,659804554,659804554
Sahara,Action,0,0,0,0,0,0,0,0,0,0,-10730514
Kingdom of Heaven,Drama,0,0,0,0,0,0,0,0,0,0,81643158
Dinosaur,Animation,0,0,0,0,0,226748063,226748063,226748063,226748063,226748063,226748063
The Island,Action,0,0,0,0,0,0,0,0,0,0,36949164
Batman & Robin,Action,0,0,113207122,113207122,113207122,113207122,113207122,113207122,113207122,113207122,113207122
Mission: Impossible II,Adventure,0,0,0,0,0,421388105,421388105,421388105,421388105,421388105,421388105
Harry Potter and the Philosopher's Stone,Adventure,0,0,0,0,0,0,851475550,851475550,851475550,851475550,851475550
The Day After Tomorrow,Action,0,0,0,0,0,0,0,0,0,419272402,419272402
How the Grinch Stole Christmas,Family,0,0,0,0,0,222141403,222141403,222141403,222141403,222141403,222141403
A Bug's Life,Adventure,0,0,0,243258859,243258859,243258859,243258859,243258859,243258859,243258859,243258859
The Perfect Storm,Drama,0,0,0,0,0,205756637,205756637,205756637,205756637,205756637,205756637
Atlantis: The Lost Empire,Animation,0,0,0,0,0,0,66053725,66053725,66053725,66053725,66053725
Star Wars: Episode II - Attack of the Clones,Adventure,0,0,0,0,0,0,0,529398328,529398328,529398328,529398328
Stuart Little 2,Family,0,0,0,0,0,0,0,49956806,49956806,49956806,49956806
Charlie's Angels: Full Throttle,Action,0,0,0,0,0,0,0,0,139175788,139175788,139175788
King Arthur,Adventure,0,0,0,0,0,0,0,0,0,83567857,83567857
"I, Robot",Action,0,0,0,0,0,0,0,0,0,227234916,227234916
Dante's Peak,Action,0,0,62127760,62127760,62127760,62127760,62127760,62127760,62127760,62127760,62127760
The Aviator,Drama,0,0,0,0,0,0,0,0,0,-14000000,-14000000
