Title,Budget,Revenue
Avatar,237000000,2787965087
Titanic,200000000,1845034188
The Lord of the Rings: The Return of the King,94000000,1118888979
Pirates of the Caribbean: Dead Man's Chest,200000000,1065659812
The Dark Knight,185000000,1004558444
Harry Potter and the Philosopher's Stone,125000000,976475550
Pirates of the Caribbean: At World's End,300000000,961000000
Finding Nemo,94000000,940335536
Harry Potter and the Order of the Phoenix,150000000,938212738
Harry Potter and the Half-Blood Prince,250000000,933959197
The Lord of the Rings: The Two Towers,79000000,926287400
Star Wars: Episode I - The Phantom Menace,115000000,924317558
Jurassic Park,63000000,920100000
Shrek 2,150000000,919838758
Harry Potter and the Goblet of Fire,150000000,895921036
Spider-Man 3,258000000,890871626
Ice Age: Dawn of the Dinosaurs,90000000,886686817
Harry Potter and the Chamber of Secrets,100000000,876688482
The Lord of the Rings: The Fellowship of the Ring,93000000,871368364
Star Wars: Episode III - Revenge of the Sith,113000000,850000000
Transformers: Revenge of the Fallen,150000000,836297228
Spider-Man,139000000,821708551
Independence Day,75000000,816969268
Shrek the Third,160000000,798958165
Harry Potter and the Prisoner of Azkaban,130000000,789804554
The Lion King,45000000,788241776
Indiana Jones and the Kingdom of the Crystal Skull,185000000,786636033
Spider-Man 2,200000000,783766341
2012,200000000,769653595
The Da Vinci Code,125000000,767820459
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",180000000,748806957
The Matrix Reloaded,150000000,738599701
Up,175000000,735099082
The Twilight Saga: New Moon,50000000,709827462
Transformers,150000000,709709780
Forrest Gump,55000000,677945399
The Sixth Sense,40000000,672806292
Ice Age: The Meltdown,80000000,660940780
Pirates of the Caribbean: The Curse of the Black Pearl,140000000,655011224
Star Wars: Episode II - Attack of the Clones,120000000,649398328
Kung Fu Panda,130000000,631744560
The Incredibles,92000000,631442092
Hancock,150000000,624029371
Ratatouille,150000000,623722818
Mamma Mia!,52000000,609841637
Madagascar: Escape 2 Africa,150000000,603900354
Casino Royale,150000000,599045960
War of the Worlds,132000000,591739379
Men in Black,90000000,589390539
Quantum of Solace,200000000,586090727
I Am Legend,150000000,585349010
Iron Man,140000000,585174222
Night at the Museum,110000000,574480841
"Monsters, Inc.",115000000,562816256
Armageddon,140000000,553799566
King Kong,207000000,550000000
Mission: Impossible II,125000000,546388105
The Day After Tomorrow,125000000,544272402
Madagascar,75000000,532680671
The Simpsons Movie,75000000,527068851
Sherlock Holmes,90000000,524028679
WALL·E,180000000,521311860
Terminator 2: Judgment Day,100000000,520000000
Meet the Fockers,80000000,516642939
Troy,175000000,497409852
Toy Story 2,90000000,497366869
Twister,92000000,494471524
Bruce Almighty,80000000,484572835
Shrek,60000000,484409218
Saving Private Ryan,70000000,481840909
Mr. & Mrs. Smith,110000000,478207520
Charlie and the Chocolate Factory,150000000,474968763
Indiana Jones and the Last Crusade,48000000,474171806
The Matrix,63000000,463517383
Cars,120000000,461983149
X-Men: The Last Stand,210000000,459359555
The Hangover,35000000,459270619
Mission: Impossible,80000000,457696359
Gladiator,103000000,457640427
National Treasure: Book of Secrets,130000000,457363168
The Last Samurai,140000000,456758981
Ocean's Eleven,85000000,450717150
Pearl Harbor,140000000,449220945
Tarzan,150000000,448000000
Alvin and the Chipmunks: The Squeakquel,75000000,443140005
The Bourne Ultimatum,70000000,442824138
Men in Black II,140000000,441818803
Terminator 3: Rise of the Machines,200000000,435000000
The Mummy Returns,98000000,433013274
Die Another Day,140000000,431971116
Cast Away,90000000,429632142
The Matrix Revolutions,150000000,424988211
300,65000000,422610419
The Chronicles of Narnia: Prince Caspian,225000000,419651413
The Mummy,80000000,415885488
Sex and the City,65000000,415252786
Night at the Museum: Battle of the Smithsonian,150000000,413106170
Batman,35000000,411348924
Signs,72000000,408247917
X2,110000000,407711549
