Country,Mean,StdDeviation
Afghanistan,28740284,117891326
Albania,28740284,117891326
Algeria,28740284,117891326
American Samoa,28740284,117891326
Andorra,28740284,117891326
Angola,28740284,117891326
Anguilla,28740284,117891326
Antigua & Barbuda,28740284,117891326
Argentina,28740284,117891326
Armenia,28740284,117891326
Aruba,28740284,117891326
Australia,28740284,117891326
Austria,28740284,117891326
Azerbaijan,28740284,117891326
"Bahamas, The",28740284,117891326
Bahrain,28740284,117891326
Bangladesh,28740284,117891326
Barbados,28740284,117891326
Belarus,28740284,117891326
Belgium,28740284,117891326
Belize,28740284,117891326
Benin,28740284,117891326
Bermuda,28740284,117891326
Bhutan,28740284,117891326
Bolivia,28740284,117891326
Bosnia & Herzegovina,28740284,117891326
Botswana,28740284,117891326
Brazil,28740284,117891326
British Virgin Is.,28740284,117891326
Brunei,28740284,117891326
Bulgaria,28740284,117891326
Burkina Faso,28740284,117891326
Burma,28740284,117891326
Burundi,28740284,117891326
Cambodia,28740284,117891326
Cameroon,28740284,117891326
Canada,28740284,117891326
Cape Verde,28740284,117891326
Cayman Islands,28740284,117891326
Central African Rep.,28740284,117891326
Chad,28740284,117891326
Chile,28740284,117891326
China,28740284,117891326
Colombia,28740284,117891326
Comoros,28740284,117891326
"Congo, Dem. Rep.",28740284,117891326
"Congo, Repub. of the",28740284,117891326
Cook Islands,28740284,117891326
Costa Rica,28740284,117891326
Cote d'Ivoire,28740284,117891326
Croatia,28740284,117891326
Cuba,28740284,117891326
Cyprus,28740284,117891326
Czech Republic,28740284,117891326
Denmark,28740284,117891326
Djibouti,28740284,117891326
Dominica,28740284,117891326
Dominican Republic,28740284,117891326
East Timor,28740284,117891326
Ecuador,28740284,117891326
Egypt,28740284,117891326
El Salvador,28740284,117891326
Equatorial Guinea,28740284,117891326
Eritrea,28740284,117891326
Estonia,28740284,117891326
Ethiopia,28740284,117891326
Faroe Islands,28740284,117891326
Fiji,28740284,117891326
Finland,28740284,117891326
France,28740284,117891326
French Guiana,28740284,117891326
French Polynesia,28740284,117891326
Gabon,28740284,117891326
"Gambia, The",28740284,117891326
