Country,Population,Birthrate,SpainBirthRate
Afghanistan,31056997,46.6,10.06
Albania,3581655,15.11,10.06
Algeria,32930091,17.14,10.06
American Samoa,57794,22.46,10.06
Andorra,71201,8.71,10.06
Angola,12127071,45.11,10.06
Anguilla,13477,14.17,10.06
Antigua & Barbuda,69108,16.93,10.06
Argentina,39921833,16.73,10.06
Armenia,2976372,12.07,10.06
Aruba,71891,11.03,10.06
Australia,20264082,12.14,10.06
Austria,8192880,8.74,10.06
Azerbaijan,7961619,20.74,10.06
"Bahamas, The",303770,17.57,10.06
Bahrain,698585,17.8,10.06
Bangladesh,147365352,29.8,10.06
Barbados,279912,12.71,10.06
Belarus,10293011,11.16,10.06
Belgium,10379067,10.38,10.06
Belize,287730,28.84,10.06
Benin,7862944,38.85,10.06
Bermuda,65773,11.4,10.06
Bhutan,2279723,33.65,10.06
Bolivia,8989046,23.3,10.06
Bosnia & Herzegovina,4498976,8.77,10.06
Botswana,1639833,23.08,10.06
Brazil,188078227,16.56,10.06
British Virgin Is.,23098,14.89,10.06
Brunei,379444,18.79,10.06
Bulgaria,7385367,9.65,10.06
Burkina Faso,13902972,45.62,10.06
Burma,47382633,17.91,10.06
Burundi,8090068,42.22,10.06
Cambodia,13881427,26.9,10.06
Cameroon,17340702,33.89,10.06
Canada,33098932,10.78,10.06
Cape Verde,420979,24.87,10.06
Cayman Islands,45436,12.74,10.06
Central African Rep.,4303356,33.91,10.06
Chad,9944201,45.73,10.06
Chile,16134219,15.23,10.06
China,1313973713,13.25,10.06
Colombia,43593035,20.48,10.06
Comoros,690948,36.93,10.06
"Congo, Dem. Rep.",62660551,43.69,10.06
"Congo, Repub. of the",3702314,42.57,10.06
Cook Islands,21388,21.0,10.06
Costa Rica,4075261,18.32,10.06
Cote d'Ivoire,17654843,35.11,10.06
Croatia,4494749,9.61,10.06
Cuba,11382820,11.89,10.06
Cyprus,784301,12.56,10.06
Czech Republic,10235455,9.02,10.06
Denmark,5450661,11.13,10.06
Djibouti,486530,39.53,10.06
Dominica,68910,15.27,10.06
Dominican Republic,9183984,23.22,10.06
East Timor,1062777,26.99,10.06
Ecuador,13547510,22.29,10.06
Egypt,78887007,22.94,10.06
El Salvador,6822378,26.61,10.06
Equatorial Guinea,540109,35.59,10.06
Eritrea,4786994,34.33,10.06
Estonia,1324333,10.04,10.06
Ethiopia,74777981,37.98,10.06
Faroe Islands,47246,14.05,10.06
Fiji,905949,22.55,10.06
Finland,5231372,10.45,10.06
France,60876136,11.99,10.06
French Guiana,199509,20.46,10.06
French Polynesia,274578,16.68,10.06
Gabon,1424906,36.16,10.06
"Gambia, The",1641564,39.37,10.06
Gaza Strip,1428757,39.45,10.06
Georgia,4661473,10.41,10.06
Germany,82422299,8.25,10.06
Ghana,22409572,30.52,10.06
Gibraltar,27928,10.74,10.06
Greece,10688058,9.68,10.06
Greenland,56361,15.93,10.06
Grenada,89703,22.08,10.06
Guadeloupe,452776,15.05,10.06
Guam,171019,18.79,10.06
Guatemala,12293545,29.88,10.06
Guernsey,65409,8.81,10.06
Guinea,9690222,41.76,10.06
Guinea-Bissau,1442029,37.22,10.06
Guyana,767245,18.28,10.06
Haiti,8308504,36.44,10.06
Honduras,7326496,28.24,10.06
Hong Kong,6940432,7.29,10.06
Hungary,9981334,9.72,10.06
Iceland,299388,13.64,10.06
India,1095351995,22.01,10.06
Indonesia,245452739,20.34,10.06
Iran,68688433,17.0,10.06
Iraq,26783383,31.98,10.06
Ireland,4062235,14.45,10.06
Isle of Man,75441,11.05,10.06
Israel,6352117,17.97,10.06
Italy,58133509,8.72,10.06
Jamaica,2758124,20.82,10.06
Japan,127463611,9.37,10.06
Jersey,91084,9.3,10.06
Jordan,5906760,21.25,10.06
Kazakhstan,15233244,16.0,10.06
Kenya,34707817,39.72,10.06
Kiribati,105432,30.65,10.06
"Korea, North",23113019,15.54,10.06
"Korea, South",48846823,10.0,10.06
Kuwait,2418393,21.94,10.06
Kyrgyzstan,5213898,22.8,10.06
Laos,6368481,35.49,10.06
Latvia,2274735,9.24,10.06
Lebanon,3874050,18.52,10.06
Lesotho,2022331,24.75,10.06
Liberia,3042004,44.77,10.06
Libya,5900754,26.49,10.06
Liechtenstein,33987,10.21,10.06
Lithuania,3585906,8.75,10.06
Luxembourg,474413,11.94,10.06
Macau,453125,8.48,10.06
Macedonia,2050554,12.02,10.06
Madagascar,18595469,41.41,10.06
Malawi,13013926,43.13,10.06
Malaysia,24385858,22.86,10.06
Maldives,359008,34.81,10.06
Mali,11716829,49.82,10.06
Malta,400214,10.22,10.06
Marshall Islands,60422,33.05,10.06
Martinique,436131,13.74,10.06
Mauritania,3177388,40.99,10.06
Mauritius,1240827,15.43,10.06
Mayotte,201234,40.95,10.06
Mexico,107449525,20.69,10.06
"Micronesia, Fed. St.",108004,24.68,10.06
Moldova,4466706,15.7,10.06
Monaco,32543,9.19,10.06
Mongolia,2832224,21.59,10.06
Montserrat,9439,17.59,10.06
Morocco,33241259,21.98,10.06
Mozambique,19686505,35.18,10.06
Namibia,2044147,24.32,10.06
Nauru,13287,24.76,10.06
Nepal,28287147,30.98,10.06
Netherlands,16491461,10.9,10.06
Netherlands Antilles,221736,14.78,10.06
New Caledonia,219246,18.11,10.06
New Zealand,4076140,13.76,10.06
Nicaragua,5570129,24.51,10.06
Niger,12525094,50.73,10.06
Nigeria,131859731,40.43,10.06
N. Mariana Islands,82459,19.43,10.06
Norway,4610820,11.46,10.06
Oman,3102229,36.24,10.06
Pakistan,165803560,29.74,10.06
Palau,20579,18.03,10.06
Panama,3191319,21.74,10.06
Papua New Guinea,5670544,29.36,10.06
Paraguay,6506464,29.1,10.06
Peru,28302603,20.48,10.06
Philippines,89468677,24.89,10.06
Poland,38536869,9.85,10.06
Portugal,10605870,10.72,10.06
Puerto Rico,3927188,12.77,10.06
Qatar,885359,15.56,10.06
Reunion,787584,18.9,10.06
Romania,22303552,10.7,10.06
Russia,142893540,9.95,10.06
Rwanda,8648248,40.37,10.06
Saint Helena,7502,12.13,10.06
Saint Kitts & Nevis,39129,18.02,10.06
Saint Lucia,168458,19.68,10.06
St Pierre & Miquelon,7026,13.52,10.06
Saint Vincent and the Grenadines,117848,16.18,10.06
Samoa,176908,16.43,10.06
San Marino,29251,10.02,10.06
Sao Tome & Principe,193413,40.25,10.06
Saudi Arabia,27019731,29.34,10.06
Senegal,11987121,32.78,10.06
Serbia,9396411,,10.06
Seychelles,81541,16.03,10.06
Sierra Leone,6005250,45.76,10.06
Singapore,4492150,9.34,10.06
Slovakia,5439448,10.65,10.06
Slovenia,2010347,8.98,10.06
Solomon Islands,552438,30.01,10.06
Somalia,8863338,45.13,10.06
South Africa,44187637,18.2,10.06
Spain,40397842,10.06,10.06
Sri Lanka,20222240,15.51,10.06
Sudan,41236378,34.53,10.06
Suriname,439117,18.02,10.06
Swaziland,1136334,27.41,10.06
Sweden,9016596,10.27,10.06
Switzerland,7523934,9.71,10.06
Syria,18881361,27.76,10.06
Taiwan,23036087,12.56,10.06
Tajikistan,7320815,32.65,10.06
Tanzania,37445392,37.71,10.06
Thailand,64631595,13.87,10.06
Togo,5548702,37.01,10.06
Tonga,114689,25.37,10.06
Trinidad & Tobago,1065842,12.9,10.06
Tunisia,10175014,15.52,10.06
Turkey,70413958,16.62,10.06
Turkmenistan,5042920,27.61,10.06
Turks & Caicos Is,21152,21.84,10.06
Tuvalu,11810,22.18,10.06
Uganda,28195754,47.35,10.06
Ukraine,46710816,8.82,10.06
United Arab Emirates,2602713,18.96,10.06
United Kingdom,60609153,10.71,10.06
United States,298444215,14.14,10.06
Uruguay,3431932,13.91,10.06
Uzbekistan,27307134,26.36,10.06
Vanuatu,208869,22.72,10.06
Venezuela,25730435,18.71,10.06
Vietnam,84402966,16.86,10.06
Virgin Islands,108605,13.96,10.06
Wallis and Futuna,16025,,10.06
West Bank,2460492,31.67,10.06
Western Sahara,273008,,10.06
Yemen,21456188,42.89,10.06
Zambia,11502010,41.0,10.06
Zimbabwe,12236805,28.01,10.06
