Country,Longitude,Latitude,World Bank region,Population (2019),Unnamed: 5,Unnamed: 6,Unnamed: 7,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
New Zealand,174.776,-41.2865,Other,4917000.0,,,,OCEANIA       ,4076140.0,268680.0,15.2,5.63,4.05,5.85,21600.0,99.0,441.7,5.6,6.99,87.41,3.0,13.76,7.53,43.0,273.0,684.0
Australia,149.129,-35.282,Other,25364307.0,,,,OCEANIA       ,20264082.0,7686850.0,2.6,0.34,3.98,4.69,29000.0,100.0,565.5,6.55,0.04,93.41,1.0,12.14,7.51,38.0,262.0,0.7
Uruguay,-56.0675,-34.8941,Latin America & the Caribbean,3461734.0,,,,LATIN AMER. & CARIB   ,3431932.0,176220.0,19.5,0.37,-0.32,11.95,12800.0,98.0,291.4,7.43,0.23,92.34,3.0,13.91,9.05,93.0,311.0,596.0
Argentina,-58.4173,-34.6118,Latin America & the Caribbean,44938712.0,,,,LATIN AMER. & CARIB   ,39921833.0,2766890.0,14.4,0.18,0.61,15.18,11200.0,97.1,220.4,12.31,0.48,87.21,3.0,16.73,7.55,95.0,358.0,547.0
Chile,-70.6475,-33.475,Latin America & the Caribbean,18952038.0,,,,LATIN AMER. & CARIB   ,16134219.0,756950.0,21.3,0.85,0.0,8.8,9900.0,96.2,213.0,2.65,0.42,96.93,3.0,15.23,5.81,0.06,493.0,447.0
Lesotho,27.7167,-29.5208,Sub-Saharan Africa,2125268.0,,,,SUB-SAHARAN AFRICA        ,2022331.0,30355.0,66.6,0.0,-0.74,84.23,3000.0,84.8,23.7,10.87,0.13,89.0,3.0,24.75,28.71,163.0,443.0,394.0
Eswatini,31.4659,-26.5225,Sub-Saharan Africa,1148130.0,,,,,,,,,,,,,,,,,,,,,,
Mozambique,32.5713,-25.9664,Sub-Saharan Africa,30366036.0,,,,SUB-SAHARAN AFRICA        ,19686505.0,801590.0,24.6,0.31,0.0,130.79,1200.0,47.8,3.5,5.1,0.3,94.6,2.0,35.18,21.35,262.0,348.0,0.39
South Africa,28.1871,-25.746,Sub-Saharan Africa,58558270.0,,,,SUB-SAHARAN AFRICA        ,44187637.0,1219912.0,36.2,0.23,-0.29,61.81,10700.0,86.4,107.0,12.08,0.79,87.13,1.0,18.2,22.0,25.0,303.0,671.0
Paraguay,-57.6362,-25.3005,Latin America & the Caribbean,7044636.0,,,,LATIN AMER. & CARIB   ,6506464.0,406750.0,16.0,0.0,-0.08,25.63,4700.0,94.0,49.2,7.6,0.23,92.17,2.0,29.1,4.49,224.0,207.0,569.0
